Date,Lake,Site,Lat,Long,Cyclops abyssorum (adults + copepodites I-V) ind/L,Cyclopidae nauplii ind/L,Cyclops vicinus (adults + copepodites I-V) ind/L,Copedods - Misc. ind/l,Eudiaptomus gracilis (adults + copepodites I-V) ind/L,Eudiaptomus nauplii ind/L,Daphnia hyalina ind/L,Bosmina longirostris ind/L,Bythotrephes longimanus ind/L,Leptodora kindtii ind/L,Chydoridae ind/L,Cyclopidae (total no. of Cyclopidae adults & copepodites I-V incl. C.abyssorum & C.vicinus) ind/L,Polyphemus pediculus ind/L,Ceriodaphnia sp. ind/L,Sampling method
21/7/1980,Loch Leven,Reed Bower,56.193745,-3.395932,8.84,#N/A,#N/A,#N/A,7.71,#N/A,19.7,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
28/7/1980,Loch Leven,Reed Bower,56.193745,-3.395932,8.36,#N/A,#N/A,#N/A,5.6,#N/A,5.01,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
4/8/1980,Loch Leven,Reed Bower,56.193745,-3.395932,4.15,#N/A,#N/A,#N/A,2.93,#N/A,10.8,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
11/8/1980,Loch Leven,Reed Bower,56.193745,-3.395932,10.72,#N/A,#N/A,#N/A,17.06,#N/A,11.14,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
18/8/1980,Loch Leven,Reed Bower,56.193745,-3.395932,15.26,#N/A,#N/A,#N/A,17.85,#N/A,17.61,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
2/9/1980,Loch Leven,Reed Bower,56.193745,-3.395932,9.08,#N/A,#N/A,#N/A,16.19,#N/A,6.9,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
9/9/1980,Loch Leven,Reed Bower,56.193745,-3.395932,9.64,#N/A,#N/A,#N/A,10.95,#N/A,9.44,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
16/9/1980,Loch Leven,Reed Bower,56.193745,-3.395932,9.33,#N/A,#N/A,#N/A,8.74,#N/A,15.46,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
23/9/1980,Loch Leven,Reed Bower,56.193745,-3.395932,7.88,#N/A,#N/A,#N/A,5.58,#N/A,13.68,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
30/9/1980,Loch Leven,Reed Bower,56.193745,-3.395932,9.42,#N/A,#N/A,#N/A,9.14,#N/A,8.74,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
7/10/1980,Loch Leven,Reed Bower,56.193745,-3.395932,15.62,#N/A,#N/A,#N/A,14.57,#N/A,14.58,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
14/10/1980,Loch Leven,Reed Bower,56.193745,-3.395932,16.43,#N/A,#N/A,#N/A,10.21,#N/A,9.41,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
21/10/1980,Loch Leven,Reed Bower,56.193745,-3.395932,11.63,#N/A,#N/A,#N/A,7.78,#N/A,5.59,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
29/10/1980,Loch Leven,Reed Bower,56.193745,-3.395932,9.83,#N/A,#N/A,#N/A,4.74,#N/A,4.58,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
11/11/1980,Loch Leven,Reed Bower,56.193745,-3.395932,6.31,#N/A,#N/A,#N/A,3.8,#N/A,2.99,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
27/11/1980,Loch Leven,Reed Bower,56.193745,-3.395932,16.61,#N/A,#N/A,#N/A,8.74,#N/A,13.11,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
