SPECIES NAME,INFRATAXON,SPECIES ID
GOMPHOSPHAERIA unicells,,GAUN
GLOEOTHECE,,GC
CHLAMYDOMONAS,,GF
CHLAMYDOMONAS,,GFL
ZOOSPORES green flagellate,,GFZ
GOLENKINIA,,GK
GLOEOTRICHIA,,GL
GLOEOTRICHIA echinulata,,GLEA
GLOEOCAPSA,,GLOE
GONIUM,,GM
GLENODINIOPSIS,,GN
GLENODINIOPSIS steinii,,GNSI
GOMPHONEMA,,GO
GOMPHONEMA acuminatum,,GOAM
GYROSIGMA,,GR
GYROMITUS,,GS
GLOEOTILA,,GT
GLOEOTILA pelagica,,GTPA
GYMNODINIUM,,GY
GYMNODINIUM helveticum,var. achroum,GYHA
GYMNODINIUM,,GYPE
GYMNODINIUM,,GYXX
GREEN ZOOSPORES,,GZS
HALTERIA,,HALT
HOFMANIA,,HF
HOFMANIA,,HFXX
HORMIDIUM,,HM
HETEROMASTIX,,HX
KIRCHNERIELLA,,KA
KIRCHNERIELLA contorta,,KACA
KIRCHNERIELLA irregularis,,KAIS
KIRCHNERIELLA lunaris,,KALS
KEPHYRION,,KN
KOLIELLA,,KO
KOLIELLA longiseta,,KOLA
KOLIELLA planctonicum,,KOPM
KOLIELLA spiculiformis,,KOSS
LAGANOSIGA,,LA
MELOSIRA,,MA
MELOSIRA ambigua,,MAA
MELOSIRA granulata,,MAG
MELOSIRA italica,,MAIT
MELOSIRA granulata angustissima,,MANG
MELOSIRA varians,,MAVS
MICROGLENA?,,MB
MONODUS,,MD
MOUGEOTIA,,MG
MICROCYSTIS,,MIC
MICROCYSTIS,,MICU
MARSONIELLA,,ML
MICRACTINIUM,,MM
MICRACTINIUM pusillum,,MMCC
MICRACTINIUM pusillum,,MMPM
MONOSIGA,,MN
MONORAPHIDIUM,,MO
MONORAPHIDIUM arcuatum,,MOAM
MONORAPHIDIUM contortum,,MOCM
MONORAPHIDIUM griffithii,,MOGI
MONORAPHIDIUM minutum,,MOMM
MONORAPHIDIUM convolutum,,MOVM
MERISMOPEDIA,,MR
MERISMOPEDIA tenuissima,,MRTA
MERISMOPEDIA,,MRXX
MALLOMONAS,,MS
MALLOMONAS akrokomos,,MSAS
MALLOMONAS tonsurata,,MSTA
NEPHRODIELLA,,NA
NEPHROCYTIUM,,NM
NEPHROCYTIUM lunatum,,NMLM
NANNOKLOSTER,,NN
NANNOKLOSTER hindakii,,NNHI
NEPHROCHLAMYS,,NS
NEPHROCHLAMYS subsolitaria,,NSSA
NAVICULA,,NV
NITZSCHIA,,NZ
NITZSCHIA closterium,,NZCM
