Date,Site,Measure,Value,Units,Instrument,FileName,TabName
15/2/2011,Reed Bower,DO,12.77,mg/L,Hach HQ30d,Datasheets_2011,15.02.11
15/2/2011,Reed Bower,DO,99.5,%,Hach HQ30d,Datasheets_2011,15.02.11
2/3/2011,Reed Bower,DO,13.54,mg/L,Hach HQ30d,Datasheets_2011,02.03.11
2/3/2011,Reed Bower,DO,107.2,%,Hach HQ30d,Datasheets_2011,02.03.11
8/4/2011,Reed Bower,DO,10.43,mg/L,Hach HQ30d,Datasheets_2011,08.04.11
8/4/2011,Reed Bower,DO,69.9,%,Hach HQ30d,Datasheets_2011,08.04.11
19/4/2011,Reed Bower,DO,10.47,mg/L,Hach HQ30d,Datasheets_2011,19.04.11
19/4/2011,Reed Bower,DO,102.2,%,Hach HQ30d,Datasheets_2011,19.04.11
6/5/2011,Reed Bower,DO,9.48,mg/L,Hach HQ30d,Datasheets_2011,06.05.11
6/5/2011,Reed Bower,DO,93.5,%,Hach HQ30d,Datasheets_2011,06.05.11
17/5/2011,Reed Bower,DO,9.82,mg/L,Hach HQ30d,Datasheets_2011,17.05.11
17/5/2011,Reed Bower,DO,96.7,%,Hach HQ30d,Datasheets_2011,17.05.11
25/5/2011,Reed Bower,DO,10.3,mg/L,Hach HQ30d,Datasheets_2011,25.05.11
25/5/2011,Reed Bower,DO,96.2,%,Hach HQ30d,Datasheets_2011,25.05.11
7/6/2011,Reed Bower,DO,9.97,mg/L,Hach HQ30d,Datasheets_2011,07.06.11
7/6/2011,Reed Bower,DO,100.1,%,Hach HQ30d,Datasheets_2011,07.06.11
29/6/2011,Reed Bower,DO,9.46,mg/L,Hach HQ30d,Datasheets_2011,29.06.11
29/6/2011,Reed Bower,DO,97.1,%,Hach HQ30d,Datasheets_2011,29.06.11
12/7/2011,Reed Bower,DO,10.1,mg/L,Hach HQ30d,Datasheets_2011,12.07.11
12/7/2011,Reed Bower,DO,105,%,Hach HQ30d,Datasheets_2011,12.07.11
26/7/2011,Reed Bower,DO,10.6,mg/L,Hach HQ30d,Datasheets_2011,26.07.11
26/7/2011,Reed Bower,DO,116.2,%,Hach HQ30d,Datasheets_2011,26.07.11
10/8/2011,Reed Bower,DO,9.29,mg/L,Hach HQ30d,Datasheets_2011,10.08.11
10/8/2011,Reed Bower,DO,95.4,%,Hach HQ30d,Datasheets_2011,10.08.11
23/8/2011,Reed Bower,DO,10.02,mg/L,Hach HQ30d,Datasheets_2011,23.08.11
23/8/2011,Reed Bower,DO,102.5,%,Hach HQ30d,Datasheets_2011,23.08.11
8/9/2011,Reed Bower,DO,9.33,mg/L,Hach HQ30d,Datasheets_2011,08.09.11
8/9/2011,Reed Bower,DO,94.1,%,Hach HQ30d,Datasheets_2011,08.09.11
20/9/2011,Reed Bower,DO,10.23,mg/L,Hach HQ30d,Datasheets_2011,20.09.11
20/9/2011,Reed Bower,DO,99.2,%,Hach HQ30d,Datasheets_2011,20.09.11
4/10/2011,Reed Bower,DO,9.44,mg/L,Hach HQ30d,Datasheets_2011,04.10.11
4/10/2011,Reed Bower,DO,100.7,%,Hach HQ30d,Datasheets_2011,04.10.11
25/10/2011,Reed Bower,DO,10.47,mg/L,Hach HQ30d,Datasheets_2011,25.10.11
25/10/2011,Reed Bower,DO,96.4,%,Hach HQ30d,Datasheets_2011,25.10.11
1/11/2011,Reed Bower,DO,10.48,mg/L,Hach HQ30d,Datasheets_2011,01.11.11
1/11/2011,Reed Bower,DO,97.3,%,Hach HQ30d,Datasheets_2011,01.11.11
15/11/2011,Reed Bower,DO,10.87,mg/L,Hach HQ30d,Datasheets_2011,15.11.11
15/11/2011,Reed Bower,DO,94.9,%,Hach HQ30d,Datasheets_2011,15.11.11
20/12/2011,Reed Bower,DO,12.22,mg/L,Hach HQ30d,Datasheets_2011,20.12.11
20/12/2011,Reed Bower,DO,91.5,%,Hach HQ30d,Datasheets_2011,20.12.11
10/1/2012,Reed Bower,DO,12.36,mg/L,Hach HQ30d,Datasheets_2012,10.01.12
10/1/2012,Reed Bower,DO,96.3,%,Hach HQ30d,Datasheets_2012,10.01.12
17/1/2012,Reed Bower,DO,12.4,mg/L,Hach HQ30d,Datasheets_2012,17.01.12
17/1/2012,Reed Bower,DO,92.8,%,Hach HQ30d,Datasheets_2012,17.01.12
31/1/2012,Reed Bower,DO,12.91,mg/L,Hach HQ30d,Datasheets_2012,31.01.12
31/1/2012,Reed Bower,DO,95.5,%,Hach HQ30d,Datasheets_2012,31.01.12
16/2/2012,Reed Bower,DO,13.19,mg/L,Hach HQ30d,Datasheets_2012,16.02.12
16/2/2012,Reed Bower,DO,102.7,%,Hach HQ30d,Datasheets_2012,16.02.12
28/2/2012,Reed Bower,DO,11.61,mg/L,Hach HQ30d,Datasheets_2012,28.02.12
28/2/2012,Reed Bower,DO,97.9,%,Hach HQ30d,Datasheets_2012,28.02.12
27/3/2012,Reed Bower,DO,11.86,mg/L,Hach HQ30d,Datasheets_2012,27.03.12
27/3/2012,Reed Bower,DO,106.6,%,Hach HQ30d,Datasheets_2012,27.03.12
10/4/2012,Reed Bower,DO,10.58,mg/L,Hach HQ30d,Datasheets_2012,10.04.12
10/4/2012,Reed Bower,DO,94.8,%,Hach HQ30d,Datasheets_2012,10.04.12
